gene_symbol,importance
Oprk1,0.048581485
Npbwr1,0.00012291016
St18,0.053498995
Cpa6,1.5076213e-05
Slco5a1,-4.260133e-05
Eya1,0.026775738
Crispld1,1.3468663e-05
Tfap2d,-0.00021198159
Col19a1,0.038693074
Pou3f3,0.06570057
Col5a2,-8.401752e-06
Satb2,0.030035688
Cdk15,3.6717385e-05
Fzd5,3.6763115e-05
Pth2r,0.00023016807
Erbb4,0.23917882
Spag16,0.05313212
Vwc2l,0.14109437
Fn1,-0.000103352715
Tns1,0.030874377
Asic4,-1.0462445e-06
Epha4,0.14799425
Serpine2,0.19124915
Ecel1,4.4662072e-05
Col6a3,-0.00018410981
Per2,0.061651383
Cdh20,0.101961695
Serpinb8,0.000113528426
Gli2,0.00023231492
Inhbb,-0.00017755007
C1ql2,-5.4784505e-05
Gpr39,-4.025423e-05
Lypd1,0.22871876
Mcm6,8.220414e-06
Lemd1,-0.00012569912
Klhdc8a,0.030825896
Adora1,0.13370988
Syt2,0.00011213331
Lgr6,1.0797885e-05
Gpr37l1,0.039612647
Tnnt2,-0.00012454386
Igfn1,-7.284486e-05
Ptprc,-0.0001540689
Lhx9,-9.96442e-05
Crb1,-0.00027301826
Ptgs2,-0.00011694223
Hmcn1,-0.00038500855
Colgalt2,0.00032069432
Lamc2,-6.230166e-05
Rgs16,0.00020236186
Fam163a,-1.6753078e-05
Pappa2,8.2888146e-05
Fmo1,-9.896611e-05
Cd247,-8.616244e-05
Rxrg,0.07216059
Rgs5,0.062144455
Ddr2,-0.00018444762
Pcp4l1,0.110150166
Pld5,0.09383331
Cnih3,0.19148836
C130074G19Rik,4.4679597e-05
Tgfb2,0.058639262
Esrrg,0.18681231
Ptpn14,-2.7853472e-05
Prox1,0.047933124
Lamb3,0.00014122878
Cd34,-0.00081783684
Ucma,-8.6136715e-06
Ccdc3,0.046715837
Itih5,0.00024359327
Prkcq,-0.00016651029
Itga8,0.071269274
C1ql3,0.10598104
Cubn,6.147294e-05
St8sia6,0.00039330753
Gad2,0.10204278
Nxph2,7.971937e-05
Ccdc187,4.9633963e-05
Col5a1,-2.901616e-05
Prdm12,0.00025855663
Fibcd1,9.5165866e-05
Lmx1b,0.00029291026
C230014O12Rik,7.185492e-06
Pbx3,0.14487174
Lhx6,-0.00011466977
Lhx2,0.045333575
Arhgap15,0.073044375
Zeb2,0.21072553
Lypd6b,0.048223265
Lypd6,0.0509178
Tnfaip6,0.0343394
Rprm,0.07449133
Nr4a2,0.08010474
Ermn,3.183268e-05
Acvr1c,0.067848556
Fign,0.09439305
Cobll1,0.06566562
Scn7a,-7.571074e-05
Myo3b,-0.00016793568
Dlx1as,0.02850924
Dlx2,9.22253e-05
Map3k20,0.00010905063
Sp9,0.031375732
Pde11a,0.05327994
Ttn,3.9902203e-05
Ccdc141,0.06175305
Itga4,0.00039107382
Pde1a,0.20886779
Frzb,-0.00012084889
Calcrl,-0.00013521923
Lrrc55,7.854702e-05
Lrp4,0.0004008362
Creb3l1,-0.00013424343
Tspan18,-4.662943e-05
Pamr1,0.0001211248
Cd44,-2.2584754e-05
Lmo2,0.018065512
Rcn1,0.051228862
Pax6,0.06442557
Mpped2,0.17862359
Bdnf,0.08405856
Fibin,3.8038095e-05
Grem1,-0.00016128659
Meis2,0.22251168
Ankrd63,0.06564076
Fbn1,7.372117e-05
Hdc,3.2506345e-05
